subject_id,U-Net/ResNet34,FPN/ResNet34,SegFormer-B1,mean_across_models
BraTS-PED-00017-000,0.08904885222227092,0.06671139573776666,0.12510274941917462,0.09362099912640405
BraTS-PED-00041-000,0.19875410077911845,0.26199418053924195,0.2756656472014549,0.24547130950660512
BraTS-PED-00167-000,0.2466132815459566,0.3635910050515975,0.5017619041080632,0.37065539690187244
BraTS-PED-00241-000,0.3101674721442035,0.308384541333549,0.6488090269913616,0.42245368015637136
BraTS-PED-00154-000,0.2468212531910546,0.5632294695158385,0.5647571962556749,0.458269306320856
BraTS-PED-00032-000,0.5626894527862959,0.4243461448246861,0.5900778044007837,0.5257044673372552
BraTS-PED-00106-000,0.6531936415750166,0.4517388525085963,0.5022739920330588,0.5357354953722239
BraTS-PED-00140-000,0.6090853605302726,0.4575580059909064,0.5446148651101596,0.5370860772104461
BraTS-PED-00082-000,0.5818986579106322,0.5638758262447449,0.5640984792780815,0.5699576544778195
BraTS-PED-00257-000,0.5865458085780676,0.5299541876996074,0.5937586374275345,0.5700862112350699
BraTS-PED-00138-000,0.5940667271940017,0.5607566709709911,0.583321942072805,0.5793817800792659
BraTS-PED-00058-000,0.6109003022912004,0.5797178984218688,0.5809778585390762,0.5905320197507152
BraTS-PED-00261-000,0.7040624376329484,0.5328643765654553,0.56305162645795,0.599992813552118
BraTS-PED-00200-000,0.6245149117810053,0.5938696223215353,0.6036900845382297,0.6073582062135902
BraTS-PED-00014-000,0.601699034640295,0.6108756504425522,0.615518032954792,0.6093642393458797
BraTS-PED-00079-000,0.4187066265103175,0.619423043807573,0.8433974078961614,0.6271756927380173
BraTS-PED-00067-000,0.6524193643999457,0.6935026234076246,0.6527235762993088,0.6662151880356264
BraTS-PED-00168-000,0.7069833520816949,0.742883942338518,0.7883319670715075,0.7460664204972401
BraTS-PED-00112-000,0.8214604533968579,0.7130839906230033,0.8110542386238611,0.7818662275479075
BraTS-PED-00008-000,0.5706902997390098,0.8885091603197175,0.9082562549459205,0.7891519050015493
BraTS-PED-00063-000,0.8709792636468753,0.8369598921172691,0.8675270742581404,0.8584887433407616
BraTS-PED-00196-000,0.8584917427436141,0.9037080922492251,0.9422603393659045,0.9014867247862478
BraTS-PED-00202-000,0.9640898334423592,0.9701614929211853,0.9659237134515964,0.9667250132717137
BraTS-PED-00259-000,0.9721084013911293,0.9655242701365078,0.9693787288511082,0.9690038001262483
BraTS-PED-00234-000,0.9847900229718825,0.9746294999854598,0.9849425276465716,0.9814540168679713
BraTS-PED-00229-000,0.9865349220191191,0.9769578637576398,0.9839193240668899,0.9824707032812162
